name,price,available,store
Milk 2L,19.96,1,Walmart
Eggs Dozen,8.95,1,Walmart
Butter 454g,13.89,1,Walmart
Cheddar Cheese 400g,19.08,1,Walmart
Greek Yogurt 1kg,24.88,1,Walmart
Whole Wheat Bread,23.33,1,Walmart
White Bread,5.82,1,Walmart
Bagels 6-pack,22.94,1,Walmart
Peanut Butter 1kg,21.25,1,Walmart
Strawberry Jam 500ml,14.99,1,Walmart
Frozen Pizza,15.57,1,Walmart
Chicken Breast 1kg,10.15,1,Walmart
Ground Beef 1kg,12.86,1,Walmart
Bacon 500g,3.05,1,Walmart
Sausages 900g,13.89,1,Walmart
Salmon Fillet 1lb,12.02,1,Walmart
Tilapia 1lb,21.45,1,Walmart
Shrimp 400g,5.46,1,Walmart
Apples 3lb Bag,10.2,1,Walmart
Bananas 1kg,22.48,1,Walmart
Oranges 3lb,10.41,1,Walmart
Broccoli,3.31,1,Walmart
Cauliflower,3.98,1,Walmart
Spinach 300g,7.98,1,Walmart
Carrots 2lb,12.19,1,Walmart
Potatoes 5lb,18.15,1,Walmart
Onions 3lb,4.71,0,Walmart
Tomatoes 1lb,11.67,1,Walmart
Cucumbers,4.04,1,Walmart
Lettuce,24.1,1,Walmart
Blueberries 170g,14.46,1,Walmart
Strawberries 1lb,11.44,1,Walmart
Grapes 1kg,9.86,1,Walmart
Pasta 900g,23.03,1,Walmart
Rice 5kg,2.84,1,Walmart
Sugar 2kg,21.59,1,Walmart
Flour 2kg,24.77,1,Walmart
Olive Oil 1L,18.49,1,Walmart
Vegetable Oil 3L,13.73,1,Walmart
Ketchup 1L,11.53,1,Walmart
Mayonnaise 750ml,4.85,1,Walmart
Mustard 300ml,16.0,1,Walmart
Salt 1kg,13.51,1,Walmart
Black Pepper 100g,7.91,1,Walmart
Garlic Powder 150g,16.44,1,Walmart
Tea Bags 100,7.74,1,Walmart
Coffee 1kg,24.35,1,Walmart
Instant Coffee 200g,19.55,1,Walmart
Cereal 400g,3.82,1,Walmart
Oats 1kg,11.24,1,Walmart
Frozen Vegetables 1kg,10.27,1,Walmart
Frozen Fries 1kg,16.78,0,Walmart
Ice Cream 1.5L,3.22,1,Walmart
Orange Juice 1L,8.37,1,Walmart
Apple Juice 1L,18.19,1,Walmart
Soft Drink 2L,6.46,1,Walmart
Bottled Water 24-pack,15.8,1,Walmart
Chips 200g,23.33,1,Walmart
Chocolate Bar,6.49,1,Walmart
Cookies 300g,21.04,1,Walmart
Crackers 200g,13.93,1,Walmart
Pancake Mix 900g,6.78,1,Walmart
Maple Syrup 500ml,17.94,1,Walmart
Honey 500g,24.43,0,Walmart
Chicken Nuggets 1kg,3.69,0,Walmart
Fish Sticks 600g,8.01,1,Walmart
Butter Chicken Sauce 400ml,3.54,1,Walmart
Tomato Sauce 680ml,24.0,1,Walmart
BBQ Sauce 500ml,21.25,1,Walmart
Soy Sauce 500ml,17.69,1,Walmart
Vinegar 1L,4.61,1,Walmart
Laundry Detergent 2L,15.95,1,Walmart
Dish Soap 900ml,10.31,1,Walmart
Toilet Paper 12-roll,2.79,1,Walmart
Paper Towels 6-pack,13.06,1,Walmart
Garbage Bags 30-pack,19.34,1,Walmart
Shampoo 355ml,23.84,1,Walmart
Conditioner 355ml,12.43,1,Walmart
Body Wash 700ml,21.3,1,Walmart
Hand Soap 250ml,14.92,1,Walmart
Toothpaste 120ml,17.16,1,Walmart
Toothbrush 2-pack,19.68,1,Walmart
Razor 4-pack,18.01,1,Walmart
Shaving Cream 300g,6.43,1,Walmart
Deodorant,4.96,1,Walmart
Aluminum Foil 50ft,22.66,1,Walmart
Plastic Wrap 100ft,16.98,1,Walmart
Ziploc Bags 50-pack,16.27,1,Walmart
Baking Soda 500g,20.42,0,Walmart
Bleach 1L,20.68,1,Walmart
All-Purpose Cleaner 1L,13.71,1,Walmart
Granola Bars 6-pack,24.24,1,Walmart
Popcorn 200g,22.95,1,Walmart
Tortillas 10-pack,18.27,1,Walmart
Salsa 500ml,18.45,1,Walmart
Nacho Chips 400g,21.59,1,Walmart
Bagged Salad,4.9,0,Walmart
Yogurt Cups 8-pack,10.75,1,Walmart
Cheese Slices 24-pack,17.78,1,Walmart
Ham Sliced 400g,24.22,1,Walmart
